Set,Species,Number,Mom,Neighbour,Tube,Indiv_ID,Flower_Count,Separate_Flr,Date_Collected,Diameter,Date_Measured,Measured_After_Collection,Viable_Disc_Seed_Count,Undev_Disc_Seed_Count,Viable_Ray_Seed_Count,Undev_Ray_Seed_Count,Reproductive_Biomass_mg,Seed_Biomass_mg,Inflor_Height,Branch_Lengths,Vegetative_Biomass,Empty_Flrs,Buds,Notes
B,gla,2,1,5,1,Bgla215,3,no,4/29/18,NA,NA,NA,37,7,0,0,7.195,NA,,,0.012,1,0,
B,gla,2,2,1,1,Bgla221,6,no,4/29/18,NA,NA,NA,163,24,0,0,41.200,NA,,,0.077,1,0,
B,gla,2,2,2,1,Bgla222,4,no,4/29/18,NA,NA,NA,54,5,0,0,13.506,NA,,,0.029,0,0,
B,gla,2,2,3,1,Bgla223,2,no,4/29/18,NA,NA,NA,5,13,0,0,1.849,NA,,,need microbalance,1,0,
B,gla,2,2,4,1,Bgla224,2,no,4/29/18,NA,NA,NA,27,3,0,0,8.845,NA,,,0.019,1,0,
B,gla,2,2,5,1,Bgla225,6,no,4/29/18,NA,NA,NA,108,11,0,0,26.758,NA,,,0.054,1,0,
C,cal,1,1,1,1,Ccal111,2,no,5/1/18,NA,NA,NA,73,47,7,4,25.401,NA,,,0.025,0,0,
C,cal,1,1,2,1,Ccal112,1,no,5/1/18,5,5/1/18,no,47,9,4,1,9.148,6.596,,,0.011,0,0,
C,cal,1,1,3,1,Ccal113,2,no,5/1/18,NA,NA,NA,103,10,19,0,15.957,NA,,,0.019,0,0,
C,cal,1,1,4,1,Ccal114,2,no,5/1/18,NA,NA,NA,140,57,6,15,35.052,NA,,,0.04,0,0,
C,cal,1,1,5,1,Ccal115,5,no,5/1/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,moldy
C,cal,1,2,1,1,Ccal121,1,no,5/1/18,2,5/1/18,no,0,7,0,6,1.297,0.869,,,need microbalance,0,0,
C,cal,1,2,2,1,Ccal122,1,no,5/1/18,2.5,5/1/18,no,1,0,3,3,1.837,0.768,,,need microbalance,0,0,
C,cal,1,2,3,1,Ccal123,1,no,5/1/18,4,5/1/18,no,24,7,6,1,6.255,4.408,,,0.004,0,0,
C,cal,1,2,4,1,Ccal124,1,no,5/1/18,3,5/1/18,no,5,4,3,2,1.896,1.346,,,0.002,0,0,
C,cal,1,2,5,1,Ccal125,1,no,5/1/18,4,5/1/18,no,1,7,0,0,1.906,1.094,,,0.002,0,0,
C,fre,1,1,1,1,Cfre111,3,no,5/1/18,NA,NA,NA,434,15,33,2,51.427,NA,,,0.058,0,0,
C,fre,1,1,2,1,Cfre112,1,no,5/1/18,NA,NA,NA,45,5,8,0,4.784,NA,,,0.006,0,0,
C,fre,1,1,3,1,Cfre113,1,no,5/1/18,5,5/1/18,no,51,11,7,1,4.635,3.517,,,0.01,0,0,
C,fre,1,1,4,1,Cfre114,1,no,5/1/18,7,5/1/18,no,104,25,not sep,not separated,10.693,7.55,,,0.011,0,0,
C,fre,1,1,5,1,Cfre115,1,no,5/1/18,6,5/1/18,no,70,8,8,0,6.378,4.836,,,0.011,0,0,
C,fre,1,2,1,1,Cfre121,1,no,5/1/18,5,5/1/18,no,64,5,7,0,6.418,3.466,,,0.01,0,0,
C,fre,1,2,2,1,Cfre122,5,no,5/1/18,NA,NA,NA,377,35,46,1,54.702,29.948,,,0.012,0,0,
C,fre,1,2,3,1,Cfre123,1,no,5/1/18,1,5/1/18,no,0,0,0,0,0.506,0.172,,,need microbalance,0,1,
C,fre,1,2,4,1,Cfre124,1,no,5/1/18,NA,NA,NA,101,1,8,1,10.704,6.013,,,0.014,0,0,
C,fre,1,2,5,1,Cfre125,1,no,5/1/18,NA,NA,NA,1,12,10,2,2.364,0.662,,,0.011,0,0,
C,gla,1,1,1,1,Cgla111,1,yes,5/1/18,1.5,5/1/18,no,6,0,0,0,0.908,0.597,,,need microbalance,0,0,
C,gla,1,1,1,2,Cgla111,1,yes,5/1/18,NA,NA,NA,2,0,0,0,0.323,NA,,,NA,0,0,
C,gla,1,1,2,1,Cgla112,2,no,5/1/18,NA,NA,NA,12,0,0,0,1.985,1.355,,,0.002,1,0,
C,gla,1,1,3,1,Cgla113,3,no,5/1/18,NA,NA,NA,31,2,0,0,5.635,3.998,,,0.013,1,0,
C,gla,1,1,4,1,Cgla114,2,yes,5/1/18,2,5/1/18,no,13,1,0,0,2.801,1.72,,,0.006,1,0,
C,gla,1,1,4,2,Cgla114,0,yes,5/1/18,NA,NA,NA,0,0,0,0,0.000,0,,,NA,0,0,
C,gla,1,1,5,1,Cgla115,4,no,5/1/18,NA,NA,NA,0,0,0,0,1.749,NA,,,0.01,1,1,
C,gla,1,2,1,1,Cgla121,2,no,5/1/18,NA,NA,NA,4,0,0,0,2.006,0.745,,,0.004,0,0,
C,gla,1,2,2,1,Cgla122,2,no,5/1/18,NA,NA,NA,7,21,0,0,3.145,1.671,,,0.012,0,0,
C,gla,1,2,3,1,Cgla123,1,yes,5/1/18,2.5,5/1/18,no,18,1,0,0,4.154,3.439,,,0.011,0,0,
C,gla,1,2,3,2,Cgla123,1,yes,5/1/18,NA,NA,NA,18,2,0,0,4.104,NA,,,NA,0,0,
C,gla,1,2,4,1,Cgla124,2,no,5/1/18,1.5,5/1/18,no,12,2,0,0,2.070,1.302,,,0.005,0,0,
C,gla,1,2,5,1,Cgla125,3,no,5/1/18,2.5,5/1/18,no,17,5,0,0,3.968,2.165,,,0.012,0,0,
C,cal,2,1,1,1,Ccal211,1,no,5/1/18,3,5/1/18,no,1,8,0,3,1.253,0.731,,,need microbalance,0,0,
C,cal,2,1,2,1,Ccal212,1,no,5/1/18,6,5/1/18,no,55,4,8,0,11.590,8.69,,,0.012,0,0,
C,cal,2,1,3,1,Ccal213,2,no,5/1/18,NA,NA,NA,97,40,17,0,18.900,14.282,,,0.013,0,0,
C,cal,2,1,4,1,Ccal214,2,no,5/1/18,NA,NA,NA,65,38,14,0,21.869,NA,,,0.014,0,0,
C,cal,2,1,5,1,Ccal215,2,no,5/1/18,NA,NA,NA,12,7,8,0,3.143,NA,,,0.005,0,0,
C,cal,2,2,1,1,Ccal221,3,no,5/1/18,NA,NA,NA,239,61,24,3,44.909,NA,,,0.032,0,0,some seeds lost after count
C,cal,2,2,2,1,Ccal222,2,no,5/1/18,NA,NA,NA,58,21,7,1,12.803,NA,,,0.01,0,0,
C,cal,2,2,3,1,Ccal223,3,no,5/1/18,NA,NA,NA,19,64,7,6,18.577,NA,,,0.026,0,1,
C,cal,2,2,4,1,Ccal224,1,no,5/1/18,4.5,5/1/18,no,16,13,3,2,4.899,NA,,,0.002,0,0,
C,cal,2,2,5,1,Ccal225,2,no,5/1/18,NA,NA,NA,42,2,10,1,6.658,NA,,,0.009,0,0,
C,fre,2,1,1,1,Cfre211,3,no,5/1/18,NA,NA,NA,113,25,10,3,22.347,NA,,,0.027,0,0,
C,fre,2,1,2,1,Cfre212,1,no,5/1/18,1.5,5/1/18,no,0,3,0,5,0.243,NA,,,need microbalance,0,0,
C,fre,2,1,3,1,Cfre213,2,no,5/1/18,NA,NA,NA,71,113,9,1,10.666,NA,,,0.01,0,0,
C,fre,2,1,4,1,Cfre214,2,no,5/1/18,NA,NA,NA,39,26,3,6,5.509,NA,,,0.008,0,0,
C,fre,2,1,5,1,Cfre215,1,no,5/1/18,4,5/1/18,no,22,9,2,0,3.752,NA,,,0.004,0,0,
C,fre,2,2,1,1,Cfre221,2,no,5/1/18,NA,NA,NA,30,12,10,0,3.884,NA,,,0.004,0,0,
C,fre,2,2,2,1,Cfre222,2,no,5/1/18,NA,NA,NA,167,38,5,0,24.125,NA,,,0.021,0,0,
C,fre,2,2,3,1,Cfre223,2,no,5/1/18,NA,NA,NA,2,11,7,5,3.454,NA,,,0.006,0,0,
C,fre,2,2,4,1,Cfre224,1,no,5/1/18,2,5/1/18,no,5,7,0,0,0.868,NA,,,need microbalance,0,0,
C,fre,2,2,5,1,Cfre225,2,no,5/1/18,NA,NA,NA,36,4,7,0,4.818,NA,,,0.009,0,0,
C,gla,2,1,1,1,Cgla211,2,no,5/1/18,NA,NA,NA,9,6,0,0,1.687,NA,,,0.005,0,0,
C,gla,2,1,2,1,Cgla212,2,no,5/1/18,1,5/1/18,no,4,1,0,0,0.474,NA,,,need microbalance,0,0,some reproductive biomass missing
C,gla,2,1,3,1,Cgla213,1,no,5/1/18,NA,NA,NA,0,0,0,0,0.457,NA,,,need microbalance,1,0,
C,gla,2,1,4,1,Cgla214,1,yes,5/1/18,NA,NA,NA,7,7,0,0,1.270,NA,,,0.01,0,0,
C,gla,2,1,4,2,Cgla214,2,yes,5/1/18,NA,NA,NA,1,0,0,0,1.642,NA,,,NA,1,0,
C,gla,2,1,5,1,Cgla215,1,yes,5/1/18,NA,NA,NA,1,2,0,0,0.575,NA,,,0.003,0,0,
C,gla,2,1,5,2,Cgla215,0,yes,5/1/18,NA,NA,NA,0,0,0,0,0.000,NA,,,NA,0,0,
C,gla,2,2,1,1,Cgla221,2,no,5/1/18,3,5/1/18,no,25,8,0,0,5.088,NA,,,0.01,0,0,
C,gla,2,2,2,1,Cgla222,1,yes,5/1/18,2.5,5/1/18,no,10,3,0,0,2.793,NA,,,0.003,0,0,
C,gla,2,2,2,2,Cgla222,1,yes,5/1/18,NA,NA,NA,1,1,0,0,0.686,NA,,,NA,0,0,
C,gla,2,2,3,1,Cgla223,1,no,5/1/18,NA,NA,NA,4,2,0,0,1.006,NA,,,need microbalance,0,0,
C,gla,2,2,4,1,Cgla224,2,no,5/1/18,2,5/1/18,no,4,6,0,0,1.772,NA,,,0.004,0,0,
C,gla,2,2,5,1,Cgla225,2,no,5/1/18,NA,NA,NA,0,0,0,0,0.989,NA,,,0.006,2,0,
D,cal,1,1,1,1,Dcal111,5,no,5/1/18,NA,NA,NA,337,72,0,1,39.673,NA,,,0.038,0,0,may be fre or grac? Mom may be fre?
